wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
59,1,0,16,92,1541,13,14,59,0.948275862,729,1,12,0,0.107344633,0,0,10.83050847,12,1.4576,1
6,1,0,5,33,5,4,4,5,0.466666667,350,1,3,0,0.416666667,0,0,56.83333333,1,0.6667,1
20,1,0,8,65,28,6,4,16,0.706766917,465,1,2,0,0.305263158,0,0,21.9,1,0.8,1
59,1,0,16,92,1541,13,14,59,0.948275862,729,1,12,0,0.107344633,0,0,10.83050847,12,1.4576,1
25,1,0,10,33,170,10,0,25,0.85,603,1,0,0,0.506666667,0,0,22.72,22,3.36,1
16,1,0,5,59,0,4,3,13,0.56,410,1,2,0,0.375,0,0,24.3125,2,0.875,1
36,1,0,7,49,238,4,4,36,0.853571429,2509,0.125,1,0,0.513888889,0,0,68.47222222,38,10.4722,1
16,1,0,8,82,0,1,8,14,0.066666667,684,1,1,0,0.395833333,0,0,41.6875,3,1.6875,1
59,1,0,16,92,1541,13,14,59,0.948275862,729,1,12,0,0.107344633,0,0,10.83050847,12,1.4576,1
16,1,0,8,82,0,1,8,14,0.066666667,684,1,1,0,0.395833333,0,0,41.6875,3,1.6875,1
14,1,0,10,57,0,1,10,14,0.076923077,383,1,1,0,0.535714286,0,0,26.28571429,3,1.2857,1
16,1,0,8,82,0,1,8,14,0.066666667,684,1,1,0,0.395833333,0,0,41.6875,3,1.6875,1
16,1,0,5,59,0,4,3,13,0.56,410,1,2,0,0.375,0,0,24.3125,2,0.875,1
25,1,0,10,33,170,10,0,25,0.85,603,1,0,0,0.506666667,0,0,22.72,22,3.36,1
59,1,0,16,92,1541,13,14,59,0.948275862,729,1,12,0,0.107344633,0,0,10.83050847,12,1.4576,1
1,1,0,3,18,0,2,2,1,2,82,0,0,0,1,0,0,81,0,0,0
8,1,0,5,13,0,4,1,6,0.5,162,1,1,0,0.5,0,0,19,5,1.75,0
8,1,1,5,28,0,4,3,8,0.5,137,0,1,0,0.416666667,0,0,15.875,4,1.5,0
5,1,0,4,10,0,4,1,4,0,33,1,0,0,0.7,0,0,5.4,1,0.8,0
3.321073333,1,0.331581905,3.66316381,21.31581905,0,2.66316381,2.331581905,3.321073333,1.502627143,100.2370048,0,0.331581905,0,0.806577222,0,0,59.40572845,1.326327619,0.497372857,0
4.048409349,1,0,3.8709741,15.82256475,0,2.8709741,1.56451295,3.177435249,1.346769425,116.838964,0.43548705,0.43548705,0,0.782256475,0,0,53.99980291,2.177435249,0.762102337,0
8,1,0,5,13,0,4,1,6,0.5,162,1,1,0,0.5,0,0,19,5,1.75,0
8,1,0,5,13,0,4,1,6,0.5,162,1,1,0,0.5,0,0,19,5,1.75,0
8,1,0.967305181,5,27.50957771,0,4,2.934610362,7.934610362,0.5,137.8173705,0.032694819,1,0,0.419391235,0,0,15.97717131,4.032694819,1.508173705,0
5.461247665,1,0.153749222,4.153749222,12.76748599,0,4,1.307498443,4.614996887,0.076874611,48.98991906,0.846250778,0.153749222,0,0.656437721,0,0,7.010523097,1.461247665,0.907624455,0
6.637789341,1,0.54592978,4.54592978,19.82673605,0,4,2.091859561,6.183719122,0.27296489,89.77669717,0.45407022,0.54592978,0,0.545319896,0,0,11.11861445,2.637789341,1.182150846,0
5.694593504,1,0.231531168,4.231531168,14.16756102,0,4,1.463062336,4.926124671,0.115765584,57.07924146,0.768468832,0.231531168,0,0.634399503,0,0,7.825288983,1.694593504,0.962071818,0
